file,column,data_type,units,min,max,definition
MARCH2025_OBJECTIVES_20042026.xlsx,polyID_unique,numeric,,1,1541,This attribute (polyID_unique) is a unique integer identifier assigned to each polygon record in the dataset. All 979 records are populated with no missing values. There are 979 unique values ranging from 1 to 1541.
MARCH2025_OBJECTIVES_20042026.xlsx,combined_polyID_og,numeric,,16,22147,"This attribute (combined_polyID_og) is the original polygon ID from the source database prior to any combining or processing steps. All 979 records are populated. There are 965 unique values ranging from 16 to 22147, indicating a small number of polygons share an original ID."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_trtYear,numeric,year (YYYY),1991,2018,This attribute (combined_trtYear) is the 4-digit year in which the land treatment was carried out. All 979 records are populated with no missing values. There are 28 unique year values ranging from 1991 to 2018.
MARCH2025_OBJECTIVES_20042026.xlsx,combined_post_fr,text,Y / N,,,This attribute (combined_post_fr) is a binary flag indicating whether the treatment polygon is associated with a post-fire context (Y) or not (N). All 979 records are populated. There are 2 unique values: 'Y' and 'N'.
MARCH2025_OBJECTIVES_20042026.xlsx,combined_trtID,text,,,,"This attribute (combined_trtID) is the treatment action ID(s) from the source database. Multiple IDs may be present for a single polygon, separated by commas. All 979 records are populated. There are 976 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_ActnDsc,text,,,,"This attribute (combined_ActnDsc) is a high-level description of the treatment action category as recorded in the source database. All 979 records are populated. There are 165 unique values representing combinations of treatment method categories (e.g., 'Herbicide/Weeds/Chemical', 'Vegetation/Soil Manipulation; Seeding', 'Prescribed Burn')."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_data_source,text,,,,This attribute (combined_data_source) is the data source from which the treatment records were obtained. All 979 records are populated. There are 2 unique values: 'LTDL' (Land Treatment Digital Library) and 'WRI' (Wildlife Resources Initiative or similar agency source).
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Trt_ID,text,,,,"This attribute (combined_Trt_ID) is the treatment ID(s) as stored in the source system, with multiple IDs separated by semicolons. This field parallels combined_trtID but uses semicolon delimiters. All 979 records are populated. There are 977 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Objectives,text,,,,"This attribute (combined_Objectives) is a free-text description of the stated management objectives for the treatment, drawn from source documentation. Multiple objectives may be concatenated with semicolons. This field is populated for 236 of 979 records (24%); 743 records contain missing values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Treatment_Type,text,,,,"This attribute (combined_Treatment_Type) is a detailed description of the treatment type(s) applied, including method and target vegetation (e.g., 'Herbicide Application: Brush/Tree Control', 'Soil Disturbance: Chaining;Ground Seeding: Dribble'). Multiple types are separated by semicolons. This field is populated for 279 of 979 records (29%)."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Trt_T_S,text,,,,"This attribute (combined_Trt_T_S) is a simplified or standardized short-form treatment type category, potentially derived from combined_Treatment_Type. This field is populated for 279 of 979 records (29%). There are 68 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Trt_T_M,text,,,,"This attribute (combined_Trt_T_M) is a medium-level treatment type category that groups treatments into broader classes using a semi-controlled vocabulary. Treatment categories include: 'Herbicide/Weeds/Chemical', 'Vegetation/Soil Manipulation', 'Seeding', and 'Prescribed Burn', which may appear alone or in semicolon-separated combinations. This field is populated for 279 of 979 records (29%). There are 22 unique values."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Planned_Implementation,text,,,,"This attribute (combined_Planned_Implementation) is free-text documentation of the planned implementation methods, specifications, and operational constraints for the treatment, drawn from project planning documents. Multiple planned actions may be separated by semicolons. This field is populated for 250 of 979 records (26%)."
MARCH2025_OBJECTIVES_20042026.xlsx,combined_Actual_Implementation,text,,,,"This attribute (combined_Actual_Implementation) is free-text documentation describing how the treatment was actually carried out, including contractor information, acreage completed, equipment used, and methods employed. Multiple actions may be separated by semicolons. This field is populated for 193 of 979 records (20%)."
